timestamp,roll,pitch,yaw
1582297428085858,2.18833,0.0209104,-1.10392
1582297428109800,2.17572,0.021691,-1.05206
1582297428125998,2.16048,0.0210413,-1.00272
1582297428146724,2.14127,0.0167343,-0.956826
1582297428169635,2.11749,0.00314427,-0.911374
1582297428184594,2.09026,-0.0185529,-0.86544
1582297428206619,2.05749,-0.0437324,-0.8182
1582297428252456,2.02614,-0.0795954,-0.771355
1582297428252456,1.98741,-0.124967,-0.724768
1582297428267420,1.94071,-0.181336,-0.675699
1582297428290487,1.89423,-0.246907,-0.625383
1582297428305483,1.86044,-0.311093,-0.583143
1582297428335339,1.84713,-0.372221,-0.55485
1582297428374087,1.85705,-0.441916,-0.541531
1582297428374087,1.86139,-0.526992,-0.527487
1582297428387088,1.84477,-0.627836,-0.493954
1582297428418027,1.80886,-0.725163,-0.452552
1582297428424960,1.79057,-0.811512,-0.438901
1582297428449886,1.78889,-0.819315,-0.4266
1582297428469842,1.84288,-0.801518,-0.464947
1582297428485794,1.83678,-0.776678,-0.468084
1582297428508743,1.81662,-0.745403,-0.463179
1582297428530672,1.79608,-0.731459,-0.45411
1582297428545871,1.76856,-0.732733,-0.444972
1582297428568580,1.75015,-0.746235,-0.442465
1582297428590519,1.74943,-0.757162,-0.447652
1582297428605528,1.75938,-0.76136,-0.454859
1582297428628470,1.76749,-0.760243,-0.457247
1582297428651348,1.7677,-0.758183,-0.454759
1582297428665318,1.75809,-0.758737,-0.450222
1582297428694236,1.74876,-0.758492,-0.446018
1582297428711193,1.74806,-0.758195,-0.444609
1582297428725156,1.74882,-0.758188,-0.444053
1582297428751203,1.74841,-0.757253,-0.44241
1582297428764052,1.74742,-0.756246,-0.440944
1582297428784998,1.74744,-0.75708,-0.441018
1582297428807129,1.75382,-0.752309,-0.444032
1582297428821314,1.73188,-0.757316,-0.427404
1582297428844830,1.72075,-0.76204,-0.419145
1582297428867204,1.73664,-0.758027,-0.429223
1582297428880784,1.76043,-0.747319,-0.443849
1582297428904866,1.7601,-0.742575,-0.441909
1582297428926808,1.73621,-0.749545,-0.424314
1582297428941631,1.74101,-0.752083,-0.426017
