timestamp,x,y,z
1582297428085858,-35.6875,114.688,-91.5625
1582297428109800,-41.4375,120,-86.875
1582297428125998,-49.375,118.25,-77.9375
1582297428146724,-58.375,116.438,-62
1582297428169635,-69.625,130.438,-37.1875
1582297428184594,-76.6875,144.438,-13.9375
1582297428206619,-91.75,152.938,-3.25
1582297428252456,-84.0625,165.875,30.8125
1582297428252456,-101.063,175.688,61.6875
1582297428267420,-116.688,191.563,96.4375
1582297428290487,-107.688,197.875,130.063
1582297428305483,-71.25,170.063,143.438
1582297428335339,-18.4375,126,151
1582297428374087,36.4375,92.9375,183.5
1582297428374087,24.1875,107.75,224.875
1582297428387088,3.25,159.938,259.438
1582297428418027,-28.9375,162.063,252.625
1582297428424960,-29.5,92.625,254.375
1582297428449886,20.625,28.5625,16.625
1582297428469842,50.375,-50.9375,2.5625
1582297428485794,-27.0625,-22.8125,-72.4375
1582297428508743,-49.375,-14.4375,-99.875
1582297428530672,-44.25,6.375,-65.8125
1582297428545871,-65.625,18.375,-26.5625
1582297428568580,-57.375,15.9375,10.25
1582297428590519,-20.4375,1,22.25
1582297428605528,12.125,-10.3125,15.625
1582297428628470,20.75,-6,6.75
1582297428651348,7.375,4.125,4.625
1582297428665318,-16.4375,8.5,4.25
1582297428694236,-16.1875,7,1.0625
1582297428711193,1.6875,2.6875,2.3125
1582297428725156,4.125,0.3125,2.375
1582297428751203,2.4375,3,-0.5
1582297428764052,-1.5625,4.3125,-1.9375
1582297428784998,-3.5625,2.9375,0.125
1582297428807129,1,3.75,-3.5625
1582297428821314,2.1875,4.1875,-1.0625
1582297428844830,-2.5,4.5,-1.6875
1582297428867204,-0.0625,3.25,-0.4375
1582297428880784,4.875,1.625,-2.25
1582297428904866,4,2.8125,-1.625
1582297428926808,0.875,4.3125,-0.4375
1582297428941631,6.5625,0.0625,0.25
1582297428964659,2.25,-1.5625,1.9375
1582297428987489,1.375,1.625,0.9375
1582297429001612,1.9375,0.0625,0.8125
1582297429024578,1.1875,0.875,1.0625
1582297429047492,0.5,0.375,0.625
1582297429061258,1.4375,-3.5,1.625
1582297429092241,-0.4375,0.5625,-2.5
1582297429107299,1.6875,-0.625,-0.0625
1582297429121091,1.25,4.1875,-3.4375
1582297429145027,-3.3125,3.25,0.1875
1582297429167177,-1,1.4375,-0.3125
1582297429181930,0.5625,0.6875,-0.8125
1582297429204979,-0.0625,0.1875,-1
1582297429226988,0.9375,0.3125,-0.8125
1582297429241774,0.1875,0.3125,-0.625
1582297429265152,0.625,0.25,-0.5
1582297429286910,-1.125,-0.1875,-0.625
1582297429301751,-0.875,-0.9375,-1
1582297429324770,-0.625,-0.6875,-0.375
1582297429347033,-1.1875,-0.125,-0.4375
1582297429362453,-1.1875,-0.25,-0.75
1582297429385440,-0.875,-1,-0.8125
1582297429407731,-0.75,-0.875,-0.75
1582297429422694,-0.6875,-0.5625,-0.5625
1582297429446221,-1.4375,-0.5,-0.1875
1582297429467234,-1.125,-0.625,-0.375
1582297429483123,-0.25,-1.5625,-0.375
1582297429506128,-0.3125,-1.3125,-0.3125
1582297429534169,-0.3125,-0.9375,0
1582297429543157,-0.75,-1.125,0.3125
1582297429565948,0.5625,-1.0625,0.0625
1582297429587304,1,-1.625,-0.25
1582297429602865,0.5625,-2.625,-0.6875
1582297429625753,-0.375,-3.875,-0.5625
1582297429655669,-1.1875,-5.4375,-0.5
1582297429670626,-5,-8.1875,-1.4375
1582297429693562,-17.4375,-6.375,-9.125
1582297429715502,-32.1875,-5.9375,-6.75
1582297429730463,15.625,-28.5625,-8.8125
1582297429753402,35.0625,-32,-36.875
1582297429775703,1.875,-42.4375,-66.125
1582297429804264,31.3125,-67.1875,-106.063
1582297429813908,24.375,-90.0625,-129
1582297429836256,7.125,-125.063,-142.75
1582297429857122,18.375,-165.875,-158.375
1582297429873079,37.5625,-205.125,-178.563
1582297429896147,50.5,-236.313,-184.688
1582297429917964,54,-251.5,-177.438
1582297429932973,60.125,-258.25,-171
1582297429955862,55.875,-262.688,-174.75
1582297429976853,64.75,-267.313,-177.188
1582297429993755,70.6875,-261.813,-167.688
1582297430015705,29.6875,-249,-154.563
1582297430036796,19.125,-232.75,-158
1582297430053597,12.5625,-219.063,-156
1582297430083515,-34.5625,-208.563,-148.438
1582297430097487,-82.0625,-188.938,-143.438
1582297430113504,-75.375,-164.875,-134
1582297430135379,-67.5625,-144.688,-124.125
1582297430157317,-64,-126.625,-113
1582297430173354,-72.125,-108.688,-97.5625
1582297430196224,-71.0625,-91.9375,-79.5
1582297430217189,-55.625,-73.8125,-65.375
1582297430233506,-35.8125,-58.6875,-50.625
1582297430256184,-22.1875,-45,-37.125
1582297430276999,-20.4375,-33.125,-25.875
1582297430294952,-21.9375,-20.75,-17.9375
1582297430316029,-20.1875,-9.875,-10.1875
1582297430336838,-12.0625,-5.5,-3.5
1582297430353614,-5.9375,0.25,1.75
1582297430375747,-0.75,4.5,-0.375
1582297430396681,-5.4375,2.25,11.375
1582297430413634,-6.875,4.75,14.6875
1582297430435830,-7.3125,7.875,15.3125
1582297430456660,-0.25,5.9375,10.4375
1582297430473769,-0.3125,6.625,9.5625
1582297430495413,1.5,2.9375,9.1875
1582297430517412,1.25,1.5625,7.1875
1582297430533371,0.3125,1.5,5.4375
1582297430556254,-1.3125,1,4.4375
1582297430578197,-0.4375,0.9375,2.125
1582297430593332,0,0.3125,0.25
1582297430616091,2.25,1.0625,-0.75
1582297430638233,1.3125,2.3125,-2.1875
1582297430652992,0.9375,2.75,-3.25
1582297430676153,2.375,3.0625,-3.5
1582297430698087,4.25,4.3125,-3.5
1582297430713032,5.0625,5.625,-2.1875
1582297430735865,7.125,6,-1.625
1582297430758716,9.5625,6.875,-1.5625
1582297430772955,7.3125,8.4375,0
1582297430796017,5.0625,8.9375,2
1582297430801664,8.8125,10.0625,4.125
1582297430823735,10,11,6.1875
1582297430840514,7.75,14.5625,8.25
1582297430861591,8.6875,16.125,7.3125
1582297430883434,6.125,13.125,13.375
1582297430900337,11.3125,12.8125,9.75
1582297430921550,5.875,10.625,11.0625
1582297430946764,11.0625,7.4375,7.8125
1582297430959175,7.5625,5.5625,9.25
1582297430981354,7.3125,3.625,7.1875
1582297431004463,5.0625,3.5,4.875
1582297431019076,1.9375,2.0625,6
1582297431041538,4.625,1.75,4.625
1582297431063898,3.6875,0,7.4375
1582297431078907,11,-1.25,5.75
1582297431101075,5.9375,1.5625,8.9375
1582297431124231,5.0625,1.5,7.75
1582297431138921,0.125,4.1875,9.5
1582297431161630,2.5,5,7.5625
1582297431183776,5.0625,2.25,7.9375
1582297431200527,6.8125,1.5625,7.5
1582297431224567,5.9375,2,7.1875
1582297431243485,3.5,2.125,6.1875
1582297431260371,3.4375,1.9375,6.25
1582297431281450,3.25,2.4375,5.6875
1582297431304514,1.9375,2.875,5.25
1582297431320215,0.4375,2.875,4.625
1582297431341339,0.625,2.125,4.5
1582297431364145,1.3125,2.125,3.4375
1582297431380055,-0.5,2.4375,2.25
1582297431401225,-0.4375,1.625,1.6875
1582297431423993,0.3125,1.3125,1.125
1582297431440267,0.8125,-0.6875,0.5625
1582297431460977,3.875,-1.1875,0.4375
1582297431483827,4.875,-1.75,1.625
1582297431499792,6,-3,3.625
1582297431521730,14.75,-5,7.4375
1582297431543626,30.5,-7.8125,14.375
1582297431561560,48.125,-16.6875,26.3125
1582297431581702,71.25,-30.0625,42.4375
1582297431603518,106.875,-42.875,59.3125
1582297431621645,134.188,-50.3125,76.3125
1582297431641413,148.5,-52.25,95
1582297431664345,159.75,-52.625,106.438
1582297431681242,158.75,-44.5,121.25
