timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1582297428807998,3,3,-1,-1,0,0,0,1
1582297428813981,1,2,0,0,0,-1,0,-1
1582297428813981,1,-1,-1,0,0,-1,-4,2
1582297428828938,1,0,-2,-3,-1,-1,0,-2
1582297428828938,-3,-6,-2,-2,0,0,-2,0
1582297428835854,-1,-1,0,0,1,1,-2,1
1582297428835854,2,2,0,0,0,0,0,0
1582297428844830,1,1,-1,-2,0,-2,-1,0
1582297428844830,1,-2,-1,-1,-1,-1,0,1
1582297428858846,2,1,0,-2,-1,-2,-1,-1
1582297428858846,-1,-2,0,-1,0,0,-1,0
1582297428867832,0,0,-1,-1,-1,1,-2,0
1582297428867832,0,1,0,0,-2,-3,-1,-3
1582297428873950,-1,2,0,-1,0,-2,-1,-2
1582297428873950,0,0,-3,-1,-2,-3,-4,-2
1582297428888860,-2,0,-3,-1,-2,-2,-5,-2
1582297428888860,-2,-1,-3,-1,-2,-2,-3,-3
1582297428896805,-3,-3,-4,-1,-2,-3,-3,-1
1582297428896805,-2,-2,-4,-1,0,-2,-1,-2
1582297428904866,-4,-4,0,-1,-3,-2,0,-1
1582297428904866,-2,-2,0,0,-2,0,1,-1
1582297428918844,-1,-1,-2,0,-1,-1,-2,-2
1582297428918844,1,4,-1,-1,-2,0,0,-1
1582297428927618,-1,-2,-3,0,0,1,1,-2
1582297428927618,-3,-3,-1,-2,-1,-1,-1,-1
1582297428933787,-1,-1,-2,-1,-1,1,-2,-1
1582297428933787,-1,-3,0,-1,-1,-1,0,-1
1582297428948609,-1,2,-1,-1,-1,-1,-1,0
1582297428948609,0,3,0,0,-1,0,-2,0
1582297428956583,-1,2,-1,-2,-2,-1,-1,-1
1582297428956583,-1,0,-1,-1,-2,-3,0,-2
1582297428965559,-1,-1,-1,1,-2,0,-1,0
1582297428965559,0,-1,-2,-1,0,-1,-3,1
1582297428979542,-1,-1,1,-2,-2,-1,2,-1
1582297428979542,-1,-2,0,-1,1,0,1,-1
1582297428987489,-1,-2,-1,-2,-1,-1,1,-2
1582297428987489,0,1,0,1,-1,0,0,2
1582297428993726,-1,-1,-1,0,-1,0,-1,-3
1582297428993726,-3,-2,0,0,-3,-2,0,-1
1582297429008799,0,-1,-1,-1,0,-1,-3,-2
1582297429008799,-1,-3,-1,-1,1,0,-1,-2
1582297429016743,1,0,0,-1,-1,0,0,-2
1582297429016743,-1,0,-1,-3,-2,1,-2,1
1582297429031386,1,0,-1,-1,-2,-1,-1,-1
1582297429031386,-1,1,-1,-1,-1,-3,0,0
1582297429038378,-1,-2,-2,1,0,-1,-1,1
1582297429038378,0,-1,0,-2,0,-2,-1,-1
1582297429047492,-2,-2,0,0,-1,-1,-1,2
