timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1582293935328603,-10,-3,-2,-2,1,-2,-2,-8
1582293935328603,1,0,-1,-2,-18,-8,-1,-1
1582293935331636,0,0,0,2,21,7,1,0
1582293935331636,0,1,0,1,-3,-2,-1,0
1582293935332594,2,0,-1,0,-2,-2,0,0
1582293935332594,-2,0,-1,-2,0,-1,-3,-3
1582293935334587,-2,-1,-3,-4,-10,-5,-2,-2
1582293935334587,-2,-3,0,0,2,0,1,1
1582293935340571,1,-5,-2,0,5,3,1,1
1582293935340571,-3,-1,0,0,-1,2,-1,-1
1582293935347740,2,0,-1,2,6,1,-1,-1
1582293935347740,-3,-3,-2,-3,-2,-1,-2,-2
1582293935355579,1,2,1,-1,-4,-3,0,0
1582293935355579,-1,0,-1,-2,0,-1,-2,-2
1582293935373493,-4,0,-1,-3,-3,-1,-1,-2
1582293935373493,0,-1,-2,-1,0,-2,-1,-3
1582293935376507,-1,-1,-1,-2,-3,-2,-1,1
1582293935376507,0,-2,-2,0,4,1,-1,0
1582293935401409,0,-1,-1,-2,-5,-1,-1,-1
1582293935401409,-1,0,0,-2,0,-2,-2,-3
1582293935402459,1,1,-2,-2,-2,0,-1,0
1582293935402459,1,0,1,1,5,1,0,1
1582293935439706,-1,-2,-2,-1,-2,-2,-1,-1
1582293935439706,-7,-3,1,-1,-1,-1,-4,-2
1582293935440303,0,0,-2,-2,-2,-3,-1,0
1582293935440303,0,0,-2,-2,0,-2,-1,-2
1582293935441302,1,0,0,0,-2,0,1,1
1582293935441302,0,-1,-1,-1,-2,0,1,-2
1582293935444342,-1,-2,-2,2,1,0,1,-1
1582293935444342,0,-1,-1,-2,-3,0,-2,-1
1582293935451273,2,-1,-2,1,-1,0,0,0
1582293935451273,0,-2,-2,-3,-1,0,0,0
1582293935459291,-2,-1,1,-1,-1,1,-1,-2
1582293935459291,1,1,0,-1,-1,0,-1,0
1582293935468231,1,2,-2,-2,-1,-1,-2,-1
1582293935468231,-1,-2,-1,-1,-1,0,-2,-1
1582293935482250,-1,0,-2,-1,0,0,-2,-3
1582293935482250,0,2,0,1,0,-1,1,-1
1582293935489238,-1,-1,-1,-3,-1,-1,-3,-2
1582293935489238,1,2,0,0,0,-3,0,-1
1582293935513159,0,-2,-1,-3,-2,-3,-2,-1
1582293935513159,0,0,-2,-2,-13,-5,-1,-1
1582293935514107,-3,0,0,3,16,10,2,0
1582293935514107,1,0,-1,2,2,-1,0,2
1582293935528136,4,-1,-1,-1,-4,-2,-3,2
1582293935528136,-10,-4,-2,-4,0,-1,-3,-6
1582293935529070,1,-2,0,-4,-9,-3,0,-1
1582293935529070,0,0,-1,-2,0,-1,-1,-1
1582293935551010,1,2,-1,0,7,2,0,-1
1582293935551010,0,-3,-2,-1,-2,0,-1,0
1582293935552011,-2,-1,0,0,0,-3,-2,-1
1582293935552011,0,1,1,0,-1,-2,-2,0
1582293935573013,-1,0,-2,-2,-4,-1,0,0
1582293935573013,0,-2,-1,1,1,-1,-2,0
1582293935580930,0,-1,0,1,-1,-1,-2,-2
1582293935580930,0,-2,-2,-1,-1,-1,1,-1
1582293935586966,-3,-3,0,-1,-2,0,-2,-1
1582293935586966,1,1,0,1,2,0,2,2
1582293935593934,-1,0,0,1,0,-2,-3,-1
1582293935593934,-1,-1,-2,-1,-5,-1,-2,-1
1582293935610919,-2,-2,-2,-3,-4,-3,-1,-2
